,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HUGO BOSS AG
GPTW Survey 2023
October 30, 2023 - November 18, 2023
HB Global 2023 Results","Overall
(Nov 2023)",Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Australien,Belgien,Brasilien,China,Dänemark,Deutschland,Dubai,Finnland,Frankreich,Griechenland,Großbritanien,Hong Kong,Irland,Italien,Japan,Kanada,Katar,Malysia,Mexiko,Niederlande,Norwegen,Österreich,Polen,Portugal,Schweden,Schweiz,Singapur,Spanien,Südkorea,Taiwan,Thailand,Türkei,USA
Global filter (Nov 2023): Overall Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Our executives fully embody the best characteristics of our company.,73,81,69,86,86,64,68,92,73,64,85,72,65,77,72,69,76,88,70,77,54,58,81,63,73,76,79,72,63,57,25,80,75,64
,I feel good about the ways we contribute to the community.,73,73,64,85,91,62,69,87,50,59,72,60,62,78,71,66,67,88,71,81,50,50,78,62,79,79,76,71,75,60,47,78,79,56
,This is a fun place to work.,73,81,79,82,84,70,80,88,77,76,73,72,65,75,60,66,68,83,71,77,58,58,89,55,76,72,78,70,68,48,42,78,71,57
,Open and honest feedback is a natural part of our work.,73,77,73,77,90,75,73,90,77,66,70,74,72,86,69,54,75,96,73,77,61,58,83,62,70,79,69,78,61,72,50,78,74,64
,People here are treated fairly regardless of their age.,72,87,71,94,87,82,83,94,100,71,75,80,81,86,76,68,82,88,77,89,64,58,88,76,72,92,81,74,74,73,55,78,54,70
,"Management is approachable, easy to talk with.",71,81,75,79,85,71,78,95,77,71,86,78,78,69,70,62,79,88,61,79,72,67,82,71,74,74,80,74,69,66,52,83,59,67
,I am given the resources and equipment to do my job.,71,79,75,77,83,71,87,93,73,66,66,79,64,75,79,70,73,75,79,76,57,67,88,86,79,92,84,64,75,74,40,85,52,70
,"When people change jobs or work units, they are made to feel right at home.",71,80,66,83,89,66,82,87,91,69,83,73,65,78,71,54,73,92,61,75,54,58,79,73,72,77,84,66,67,68,58,88,58,59
,Management has a clear view of where the organization is going and how to get there.,71,78,74,79,87,62,73,92,68,72,83,77,69,75,75,78,76,92,71,80,55,67,77,75,78,85,79,73,74,68,52,80,60,64
,We're all in this together.,71,73,75,74,89,69,69,90,71,61,72,69,68,72,64,56,68,92,71,75,55,58,82,66,53,74,79,71,55,52,45,78,72,59
,I am able to take time off from work when I think it's necessary.,71,87,74,79,71,60,76,83,68,71,85,68,86,69,73,63,70,83,56,57,60,42,71,69,72,67,82,72,57,57,58,68,70,61
,People here are willing to give extra to get the job done.,71,67,73,72,86,65,77,89,59,67,76,67,65,58,52,75,69,71,61,77,48,42,73,70,62,69,72,63,68,82,63,80,68,60
,Management is competent at running the business.,70,84,77,81,87,68,76,95,73,70,90,80,69,81,76,70,79,96,82,79,60,75,85,74,73,85,85,82,71,68,47,83,55,68
,Management makes its expectations clear.,70,80,71,77,88,68,71,90,82,66,66,78,81,81,70,72,79,83,63,75,58,67,87,73,74,79,71,66,70,75,55,78,63,63
,"We celebrate people who try new and better ways of doing things, regardless of the outcome.",70,72,70,78,86,62,71,90,73,61,75,66,67,75,60,67,68,92,71,73,53,58,82,63,60,68,73,72,63,61,33,83,69,58
,Management recognizes honest mistakes as part of doing business.,69,79,66,73,76,71,81,88,77,62,86,73,76,72,69,64,79,83,60,72,61,50,84,64,61,68,81,74,61,73,54,76,58,61
,Management keeps me informed about important issues and changes.,69,76,71,80,87,53,72,93,64,69,70,75,67,75,61,63,78,92,73,72,58,67,80,68,68,77,69,67,66,62,48,76,62,61
,I am able to make the best use of my abilities here.,69,78,75,78,86,66,76,92,68,65,75,70,69,78,65,58,69,92,73,84,54,75,85,68,67,77,76,75,59,55,48,78,61,66
,"There is a ""family"" or ""team"" feeling here.",68,75,65,73,86,75,70,89,71,65,76,73,65,72,53,56,73,92,74,73,53,83,85,59,51,67,75,69,65,58,37,80,62,57
,People care about each other here.,68,80,77,75,89,87,80,87,77,72,73,75,69,89,59,60,72,83,66,71,59,75,81,69,65,74,79,67,64,68,55,73,51,62
,Management hires people who fit in well here.,67,68,67,80,85,64,73,83,82,74,63,73,51,83,65,40,67,75,53,76,48,33,83,59,72,69,77,66,56,60,33,72,60,55
,We have special and unique benefits here.,67,57,47,89,70,58,84,82,45,54,63,57,43,69,57,40,56,75,74,63,31,50,60,50,57,54,81,69,52,58,32,66,66,57
,"Management shows a sincere interest in me as a person, not just an employee.",66,71,69,77,84,67,72,86,64,68,85,70,72,71,66,65,71,88,63,70,55,58,84,68,55,82,79,72,60,61,41,68,54,56
,You can count on people to cooperate.,66,71,70,70,89,71,72,83,82,72,66,67,67,66,59,61,67,71,58,73,49,58,77,71,59,74,73,61,69,78,57,80,57,55
,People look forward to coming to work here.,66,70,64,80,83,58,77,90,59,73,73,60,56,78,58,49,66,92,66,80,41,67,77,52,65,72,82,66,69,38,35,78,56,49
,I can ask management any reasonable question and get a straight answer.,66,79,75,74,80,71,77,93,68,65,74,75,72,69,66,60,77,83,60,78,62,67,80,71,74,79,73,74,69,70,45,66,51,60
,Management genuinely seeks and responds to suggestions and ideas.,65,77,74,76,81,64,72,87,73,64,69,70,74,69,64,57,74,83,69,74,55,67,83,59,62,85,73,69,61,68,48,76,52,58
,I am offered training or development to further myself professionally.,65,67,66,81,85,61,63,90,68,50,66,63,50,67,61,81,72,88,74,72,52,50,62,54,74,76,73,72,70,59,35,80,59,56
